District,Name,GEOID
4,Dr. Adriana Rocha Garcia,48029171916
4,Dr. Adriana Rocha Garcia,48029171917
4,Dr. Adriana Rocha Garcia,48029151302
4,Dr. Adriana Rocha Garcia,48029161901
4,Dr. Adriana Rocha Garcia,48029161802
4,Dr. Adriana Rocha Garcia,48029161501
4,Dr. Adriana Rocha Garcia,48029160701
4,Dr. Adriana Rocha Garcia,48029162001
4,Dr. Adriana Rocha Garcia,48029160902
4,Dr. Adriana Rocha Garcia,48029171914
4,Dr. Adriana Rocha Garcia,48029160400
5,Teri Castillo,48029170200
5,Teri Castillo,48029171502
5,Teri Castillo,48029171100
5,Teri Castillo,48029170402
5,Teri Castillo,48029171501
5,Teri Castillo,48029160200
5,Teri Castillo,48029171301
5,Teri Castillo,48029171302
5,Teri Castillo,48029170800
5,Teri Castillo,48029170401
5,Teri Castillo,48029150400
5,Teri Castillo,48029980002
5,Teri Castillo,48029160300
5,Teri Castillo,48029140100
5,Teri Castillo,48029150100
5,Teri Castillo,48029170101
5,Teri Castillo,48029160502
5,Teri Castillo,48029171000
5,Teri Castillo,48029160600
5,Teri Castillo,48029192100
5,Teri Castillo,48029180504
5,Teri Castillo,48029150600
5,Teri Castillo,48029160702
5,Teri Castillo,48029150502
5,Teri Castillo,48029150800
5,Teri Castillo,48029110700
5,Teri Castillo,48029110600
5,Teri Castillo,48029170700
5,Teri Castillo,48029140200
5,Teri Castillo,48029170102
5,Teri Castillo,48029170300
5,Teri Castillo,48029980100
5,Teri Castillo,48029171402
5,Teri Castillo,48029171602
5,Teri Castillo,48029150501
5,Teri Castillo,48029160901
5,Teri Castillo,48029160501
5,Teri Castillo,48029160100
5,Teri Castillo,48029110500
5,Teri Castillo,48029170600
5,Teri Castillo,48029161600
5,Teri Castillo,48029110100
5,Teri Castillo,48029151100
5,Teri Castillo,48029150700
5,Teri Castillo,48029170900
5,Teri Castillo,48029171200
5,Teri Castillo,48029150300
5,Teri Castillo,48029160701
5,Teri Castillo,48029160902
5,Teri Castillo,48029160400
5,Teri Castillo,48029171401
